ACP,Avenue Income Credit Strategies Fund Common Shares
ACV,AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest
ADX,Adams Diversified Equity Fund Inc.
AFB,AllianceBernstein National Municipal Income Fund Inc
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock
AGC,Advent Claymore Convertible Securities and Income Fund Common Shares of Beneficial Interest
AGD,Alpine Global Dynamic Dividend Fund Shares of Beneficial Interest
AIF,Apollo Tactical Income Fund Inc. Common Stock
AKP,Alliance California Municipal Income Fund Inc
AOD,Alpine Total Dynamic Dividend Fund Common Stock
APB,"Asia Pacific Fund, Inc. (The)"
ARDC,"Ares Dynamic Credit Allocation Fund, Inc. Common Shares"
AVK,Advent Claymore Convertible Securities and Income Fund
AWF,Alliancebernstein Global High Income Fund
AWP,Alpine Global Premier Properties Fund Alpine Global Premier Properties Fund Common Shares of Beneficial Interest
BGB,Blackstone / GSO Strategic Credit Fund Common Shares
BGH,Barings Global Short Duration High Yield Fund Common Shares of Beneficial Interests
BGX,Blackstone GSO Long Short Credit Income Fund Common Shares
BGY,"BLACKROCK INTERNATIONAL, LTD. Blackrock International Real Estate Fund, Inc."
BIF,"Boulder Growth & Income Fund, Inc."
BSL,Blackstone GSO Senior Floating Rate Term Fund Common Shares of Beneficial Interest
BTO,John Hancock Financial Opportunities Fund Common Stock
BWG,Legg Mason BW Global Income Opportunities Fund Inc. Common Stock
CAF,Morgan Stanley China A Share Fund Inc. Common Stock
CBA,ClearBridge American Energy MLP Fund Inc. Common Stock
CEE,"Central Europe, Russia and Turkey Fund, Inc. (The) Common Stock"
CEM,ClearBridge Energy MLP Fund Inc. Common Stock
CEN,Center Coast MLP & Infrastructure Fund Common Shares of Beneficial Interest
CHN,"China Fund, Inc. (The) Common Stock"
CIF,MFS Intermediate High Income Fund Common Stock
CII,"Blackrock Capital and Income Fund, Inc."
CTR,ClearBridge Energy MLP Total Return Fund Inc. Common Stock
DBL,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest
DDF,"Delaware Investments Dividend & Income Fund, Inc. Common Stock"
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc. Common Stock
DHF,Dreyfus High Yield Strategies Fund Common Stock
DHG,"Deutsche High Income Opportunities Fund, Inc  New Common Stock"
DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund Common Shares of Beneficial Interest
DMB,"Dreyfus Municipal Bond Infrastructure Fund, Inc. Common Stock"
DMO,Western Asset Mortgage Defined Opportunity Fund Inc Common Stock
DNI,Dividend and Income Fund Common Stock
DNP,"DNP Select Income Fund, Inc. Common Stock"
DPG,Duff & Phelps Global Utility Income Fund Inc. Common Stock
DRA,Diversified Real Asset Income Fund Common Shares of Beneficial Interest
DSE,Duff & Phelps Select Energy MLP Fund Inc. Common Stock
DSL,DoubleLine Income Solutions Fund Common Shares of Beneficial Interests
DSM,"Dreyfus Strategic Municipal Bond Fund, Inc. Common Stock"
DSU,"Blackrock Debt Strategies Fund, Inc. Common Stock"
EDD,"Morgan Stanley Emerging Markets Domestic Debt Fund, Inc. Morgan Stanley Emerging Markets Domestic Debt Fund, Inc. Common Stock"
EDF,Stone Harbor Emerging Markets Income Fund Common Shares of Beneficial Interest
EDI,Stone Harbor Emerging Markets Total Income Fund Common Shares of Beneficial Interests
EEA,"The European Equity Fund, Inc. Common Stock"
EGF,"Blackrock Enhanced Government Fund, Inc. Common Stock"
EGIF,Eagle Growth and Income Opportunities Fund Common Shares of Beneficial Interest
EHI,Western Asset Global High Income Fund Inc Common Stock
EMD,Western Asset Emerging Markets Debt Fund Inc Common Stock
EMF,Templeton Emerging Markets Fund Common Stock
EMO,ClearBridge Energy MLP Opportunity Fund Inc. Common Stock
EOD,Wells Fargo Global Dividend Opportunity Fund
EOI,Eaton Vance Enhance Equity Income Fund Eaton Vance Enhanced Equity Income Fund Shares of Beneficial Interest
EOS,Eaton Vance Enhance Equity Income Fund II Common Stock
EVG,Eaton Vance Short Diversified Income Fund Eaton Vance Short Duration Diversified Income Fund Common Shares of Beneficial Interest
EVT,Eaton Vance Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest
FAM,First Trust/Aberdeen Global Opportunity Income Fund First Trust/Aberdeen Global Opportunity Income Fund Common Shares of Beneficial Interest
FCT,First Trust Senior Floating Rate Income Fund II Common Shares of Beneficial Interest
FDEU,First Trust Dynamic Europe Equity Income Fund Common Shares of Beneficial Interest
FEI,First Trust MLP and Energy Income Fund Common Shares of Beneficial Interest
FEO,First Trust/Aberdeen Emerging Opportunity Fund Common Shares of Beneficial Interest
FFA,First Trust Enhanced Equity Income Fund
FFC,Flaherty & Crumrine Preferred Securities Income Fund Incorporated
FGB,First Trust Specialty Finance and Financial Opportunities Fund
FHY,First Trust Strategic High Income Fund II First Trust Strategic High Income Fund II Common Shares of Beneficial Interest
FIF,First Trust Energy Infrastructure Fund Common Shares of Beneficial Interest
FIV,First Trust Senior Floating Rate 2022 Target Term Fund Common Shares of Beneficial Interest
FLC,Flaherty & Crumrine Total Return Fund Inc Common Stock
FMN,Federated Premier Municipal Income Fund Federated Premier Municipal Income Fund
FMO,Fiduciary/Claymore MLP Opportunity Fund Fiduciary/Claymore MLP Opportunity Fund Common Shares of Beneficial Interest
FMY,First Trust Motgage Income Fund Common Shares of Beneficial Interest
FPF,First Trust Intermediate Duration Preferred & Income Fund Common Shares of Beneficial Interest
FPL,First Trust New Opportunities MLP & Energy Fund Common Shares of Beneficial Interest
FPT,Federated Premier Intermediate Municipal Income Fund Federated Premier Intermediate Municipal Income Fund
FRA,Blackrock Floating Rate Income Strategies Fund Inc  Common Stock
FSD,First Trust High Income Long Short Fund Common Shares of Beneficial Interest
GCH,"Aberdeen Greater China Fund, Inc. Common Stock"
GCV,"Gabelli Convertible and Income Securities Fund, Inc. (The) Common Stock"
GCV$B,"Gabelli Convertible and Income Securities Fund, Inc. (The) Series B 6.00% Cumulative Preferred Stock"
GDL,"GDL Fund, The Common Shares of Beneficial Interest"
GDL$B,The GDL Fund Series B Cumulative Puttable and Callable Preferred Shares
GDO,Western Asset Global Corporate Defined Opportunity Fund Inc. Western Asset Global Corporate Defined Opportunity Fund Inc.
GER,Goldman Sachs MLP Energy Renaissance Fund
GF,"New Germany Fund, Inc. (The) Common Stock"
GFY,Western Asset Variable Rate Strategic Fund Inc. Common Stock
GGM,Guggenheim Credit Allocation Fund Common Shares of Beneficial Interest
GHY,"Prudential Global Short Duration High Yield Fund, Inc. Common Stock"
GIM,"Templeton Global Income Fund, Inc. Common Stock"
GMZ,Goldman Sachs MLP Income Opportunities Fund
GOF,Guggenheim Strategic Opportunities Fund Common Shares of Beneficial Interest
GPM,Guggenheim Enhanced Equity Income Fund
GRR,"Asia Tigers Fund, Inc. (The) Common Stock"
HEQ,John Hancock Hedged Equity & Income Fund Common Shares of Beneficial Interest
HIE,Miller/Howard High Income Equity Fund Common Shares of Beneficial Interest
HIO,"Western Asset High Income Opportunity Fund, Inc. Common Stock"
HIX,Western Asset High Income Fund II Inc. Common Stock
HPF,John Hancock Pfd Income Fund II Pfd Income Fund II
HPI,John Hancock Preferred Income Fund Common Shares of Beneficial Interest
HPS,John Hancock Preferred Income Fund III Preferred Income Fund III
HTD,John Hancock Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest
HYB,"New America High Income Fund, Inc. (The) Common Stock"
HYI,Western Asset High Yield Defined Opportunity Fund Inc. Common Stock
HYT,"Blackrock Corporate High Yield Fund, Inc. Common Stock"
IAE,Voya Asia Pacific High Dividend Equity Income Fund ING Asia Pacific High Dividend Equity Income Fund Common Shares of Beneficial Interest
IDE,"Voya Infrastructure, Industrials and Materials Fund Common Shares of Beneficial Interest"
IFN,"India Fund, Inc. (The) Common Stock"
IGA,Voya Global Advantage and Premium Opportunity Fund Common Shares of Beneficial Interest
IGD,Voya Global Equity Dividend and Premium Opportunity Fund
IGR,CBRE Clarion Global Real Estate Income Fund Common Stock
IHD,Voya Emerging Markets High Income Dividend Equity Fund Common Shares
IHIT,Invesco High Income 2023 Target Term Fund Common Shares of Beneficial Interest
IID,Voya International High Dividend Equity Income Fund Common Shares of Beneficial Interest
IIF,"Morgan Stanley India Investment Fund, Inc. Common Stock"
INF,Brookfield Global Listed Infrastructure Income Fund Closed End Fund
INSI,Insight Select Income Fund
IRL,"New Ireland Fund, Inc (The) Common Stock"
IRR,Voya Natural Resources Equity Income Fund Common Shares of Beneficial Interest
ISD,"Prudential Short Duration High Yield Fund, Inc. Common Stock"
IVH,Ivy High Income Opportunities Fund Common Shares of Beneficial Interest
JCE,Nuveen Core Equity Alpha Fund Nuveen Core Equity Alpha Fund Common Shares of Beneficial Interest
JCO,Nuveen Credit Opportunities 2022 Target Term Fund Common Shares of Beneficial Interest
JDD,Nuveen Diversified Dividend and Income Fund Shares of Beneficial Interest
JEQ,"Aberdeen Japan Equity Fund, Inc.  Common Stock"
JFC,"JPMorgan China Region  Fund, Inc. Common Stock"
JFR,Nuveen Floating Rate Income Fund Common Stock
JGH,Nuveen Global High Income Fund Common Shares of Beneficial Interest
JHA,Nuveen High Income December 2018 Target Term Fund
JHB,Nuveen High Income November 2021 Target Term Fund Nuveen High Income November 2021 Target Term Fund
JHD,Nuveen High Income December 2019 Target Term Fund Common Shares of Beneficial Interest
JHY,Nuveen High Income 2020 Target Term Fund Common Shares of Beneficial Interest
JLS,Nuveen Mortgage Opportunity Term Fund Nuveen Mortgage Opportunity Term Fund
JMF,Nuveen Energy MLP Total Return Fund Common Shares of Beneficial Interest
JMLP,Nuveen All Cap Energy MLP Opportunities Fund Common Shares of Beneficial Interest
JMT,Nuveen Mortgage Opportunity Term Fund 2 Common Shares of Beneficial Interest
JOF,Japan Smaller Capitalization Fund Inc Common Stock
JPC,Nuveen  Preferred Income Opportunities Fund
JPI,Nuveen Preferred and Income Term Fund Common Shares of Beneficial Interest
JPS,Nuveen Preferred Securities Income Fund 2 Shares of Beneficial Interest
JPT,Nuveen Preferred and Income 2022 Term Fund Common Shares of Beneficial Interest
JPW,Nuveen Flexible Investment Income Fund Common Shares of Beneficial Interest
JQC,Nuveen Credit Strategies Income Fund Shares of Beneficial Interest
JRI,Nuveen Real Asset Income and Growth Fund Common Shares of Beneficial Interest
JRO,Nuveen Floating Rate Income Opportuntiy Fund Shares of Beneficial Interest
JRS,Nuveen Real Estate Income Fund Common Shares of Beneficial Interest
JSD,Nuveen Short Duration Credit Opportunities Fund Common Shares of Beneficial Interest
KEF,"Korea Equity Fund, Inc. Common Stock"
KF,"Korea Fund, Inc. (The) New Common Stock"
KIO,KKR Income Opportunities Fund Common Shares
KMF,"Kayne Anderson Midstream Energy Fund, Inc Common Stock"
KYE,"Kayne Anderson Total Energy Return Fund, Inc. Common Stock"
LBF,"Deutsche Global High Income Fund, Inc. Common Stock"
LCM,Advent/Claymore Enhanced Growth & Income Fund Advent/Claymore Enhanced Growth & Income Fund Common Shares of Beneficial Interest
