ACT Symbol,Company Name
A,"Agilent Technologies, Inc. Common Stock"
AA,Alcoa Corporation Common Stock 
AAC,"AAC Holdings, Inc. Common Stock"
AAN,"Aaron's, Inc. Common Stock"
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I
AAT,"American Assets Trust, Inc. Common Stock"
AAV,Advantage Oil & Gas Ltd  Ordinary Shares
AB,AllianceBernstein Holding L.P.  Units
ABB,ABB Ltd Common Stock
ABBV,AbbVie Inc. Common Stock
ABC,AmerisourceBergen Corporation Common Stock
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share)
ABG,Asbury Automotive Group Inc Common Stock
ABM,ABM Industries Incorporated Common Stock
ABR,Arbor Realty Trust Common Stock
ABR$A,Arbor Realty Trust Preferred Series A
ABR$B,Arbor Realty Trust Cumulative Redeemable Preferred Series B
ABR$C,Arbor Realty Trust Cumulative Redeemable Preferred Series C
ABRN,Arbor Realty Trust 7.375% Senior Notes due 2021
ABT,Abbott Laboratories Common Stock
ABX,Barrick Gold Corporation Common Stock
AC,"Associated Capital Group, Inc. Common Stock"
ACC,American Campus Communities Inc Common Stock
ACCO,Acco Brands Corporation Common Stock
ACH,Aluminum Corporation of China Limited American Depositary Shares
ACM,AECOM Common Stock
ACN,Accenture plc Class A Ordinary Shares (Ireland)
ACRE,Ares Commercial Real Estate Corporation Common Stock
ADC,Agree Realty Corporation Common Stock
ADM,Archer
ADNT,Adient plc Ordinary Shares 
ADPT,Adeptus Health Inc. Common Stock
ADS,Alliance Data Systems Corporation Common Stock
ADSW,"Advanced Disposal Services, Inc. Common Stock"
AEB,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands)
AED,AEGON N.V. Perp. Cap. Securities (Netherlands)
AEE,Ameren Corporation Common Stock
AEG,AEGON N.V. Common Stock
AEH,AEGON N.V. Perp. Cap Secs.
AEK,Aegon NV 8.00% Non
AEL,American Equity Investment Life Holding Company Common Stock
AEM,Agnico Eagle Mines Limited Common Stock
AEO,"American Eagle Outfitters, Inc. Common Stock"
AEP,"American Electric Power Company, Inc. Common Stock"
AER,Aercap Holdings N.V. Ordinary Shares
AES,The AES Corporation Common Stock
AES$C,AES Corporation (The) Class C Preferred Stock
AET,Aetna Inc. Common Stock
AEUA,Anadarko Petroleum Corporation 7.50% Tangible Equity Units
AF,Astoria Financial Corporation Common Stock
AF$C,Astoria Financial Corporation Depositary Shs Repstg 1/40th Int Perp Pfd Ser C 6.5%
AFA,"American Financial Group, Inc. 5.75% Senior Notes due 2042"
AFC,"Allied Capital Corporation Allied Capital Corporation 6.875% Notes due April 15, 2047"
AFG,"American Financial Group, Inc. Common Stock"
AFGE,"American Financial Group, Inc. 6.25% Subordinated Debentures due 2054"
AFGH,"American Financial Group, Inc. 6% Subordinated Debentures due 2055"
AFI,"Armstrong Flooring, Inc. Common Stock"
AFL,AFLAC Incorporated Common Stock
AFSD,"Aflac Incorporated 5.50% Subordinated Debentures due September 15, 2052"
AFSI$A,"AmTrust Financial Services, Inc. Preferred Series A"
AFSI$B,"AmTrust Financial Services, Inc. Depository Shares Representing 1/40th Preferred Series B"
AFSI$C,"AmTrust Financial Services, Inc. Depository Shares Representing 1/40th Preferred Series C"
AFSI$D,"AmTrust Financial Services, Inc. Depositary Shares, Each Representing 1/40th Interest in a shares of 7.50% Non"
AFSI$E,"AmTrust Financial Services, Inc. Depositary Shares , Each Representing 1/40 th Interest in a Share of 7.75% Non"
AFSI$F,"AmTrust Financial Services, Inc. Depositary Shares, Each Representing 1/40 th Interest in a Share of 6.95% Non"
AFSS,"AmTrust Financial Services, Inc. 7.25% Subordinated Notes due 2055"
AFST,"AmTrust Financial Services, Inc. 7.50% Subordinated Notes due September 15, 2055"
AFW,"American Financial Group, Inc. 6 3/8% Senior Notes due 2042"
AG,First Majestic Silver Corp. Ordinary Shares (Canada)
AGCO,AGCO Corporation Common Stock
AGI,Alamos Gold Inc. Class A Common Shares
AGM,Federal Agricultural Mortgage Corporation Common Stock
AGM$A,Federal Agricultural Mortgage Corporation 5.875% Non
AGM$B,Federal Agricultural Mortgage Corporation Non Cumulative Preferred Stock Series B
AGM$C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg
AGM.A,Federal Agricultural Mortgage Corporation Common Stock
AGN,Allergan plc Ordinary Shares
AGN$A,"Allergan plc. 5.50% Mandatory Convertible Preferred Shares, Series A"
AGO,Assured Guaranty Ltd. Common Stock
AGO$B,Assured Guaranty Ltd.
AGO$E,Assured Guaranty Ltd.
AGO$F,Assured Guaranty Ltd.
AGR,"Avangrid, Inc. Common Stock"
AGRO,Adecoagro S.A. Common Shares
AGU,Agrium Inc. Common Stock
AGX,"Argan, Inc. Common Stock"
AHC,A.H. Belo Corporation Common Stock
AHH,"Armada Hoffler Properties, Inc. Common Stock"
AHL,Aspen Insurance Holdings Limited Ordinary Shares
AHL$B,Aspen Insurance Holdings Limited Perp Pref Shs (Bermuda)
AHL$C,Aspen Insurance Holdings Limited 5.95% Fixed
AHL$D,Aspen Insurance Holdings Limited 5.625% Perpetual Non
AHP,"Ashford Hospitality Prime, Inc. Common Stock"
AHP$B,"Ashford Hospitality Prime, Inc. Ashford Hospitality Prime, Inc. 5.50% Series B Cumulative Convertible Preferred Stock, par value $0.01 per share"
AHT,Ashford Hospitality Trust Inc Common Stock
AHT$A,Ashford Hospitality Trust Inc 8.55% Cum Preferred Series A
AHT$D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock
AHT$F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock
AHT$G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock
AI,Arlington Asset Investment Corp Class A (new)
AIB,Apollo Investment Corporation 6.625% Senior Notes due 2042
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025
AIG,"American International Group, Inc. New Common Stock"
AIG.W,"American International Group, Inc. Warrant expiring January 19, 2021"
AIN,Albany International Corporation Common Stock
AIR,AAR Corp. Common Stock
AIT,"Applied Industrial Technologies, Inc. Common Stock"
AIV,Apartment Investment and Management Company Common Stock
AIV$A,Apartment Investment and Management Company Preferred Series Class A
AIW,Arlington Asset Investment Corp 6.625% Notes due 2023
AIY,Apollo Investment Corporation 6.875% Senior Notes due 2043
AIZ,"Assurant, Inc. Common Stock"
AJG,Arthur J. Gallagher & Co. Common Stock
AJRD,"Aerojet Rocketdyne Holdings, Inc. Common Stock"
AJX,Great Ajax Corp. Common Stock
AKO.A,Embotelladora Andina S.A. Common Stock
AKO.B,Embotelladora Andina S.A. Common Stock
AKR,Acadia Realty Trust Common Stock
AKS,AK Steel Holding Corporation Common Stock
AL,Air Lease Corporation Class A Common Stock
ALB,Albemarle Corporation Common Stock
ALDW,"Alon USA Partners, LP Common Units representing Limited Partner Interests"
ALE,"Allete, Inc."
ALEX,"Alexander & Baldwin, Inc. Common Stock"
ALG,"Alamo Group, Inc. Common Stock"
ALJ,"Alon USA Energy, Inc. common stick"
ALK,"Alaska Air Group, Inc. Common Stock"
ALL,Allstate Corporation (The) Common Stock
ALL$A,Allstate Corporation (The) Dep Shs Repstg 1/1000th Perp Pfd Ser A
ALL$B,Allstate Corporation (The) 5.100% Fixed
ALL$C,Allstate Corporation (The) Dep Shs Repstg 1/1000th Int Shs Pfd Stk Ser C
ALL$D,The Allstate Corporation Leopards Each Representing A 1/1000th Interest In A Share Of Fixed Rate Noncumulative Perpetual Preferred Stock Series D
ALL$E,Allstate Corporation Depositary Shares Representing 1/1000th Perpetual Preferred Series E
ALL$F,Allstate Corporation (The) Leopards Dep Shares Representing 1/1000th Perp Pfd
ALLE,Allegion plc Ordinary Shares
ALLY,Ally Financial Inc. Common Stock
ALLY$A,"GMAC Capital Trust I Fixed Rate Floating Rate Trust Preferred Securities, Series 2"
ALP$O,Alabama Power Company Preferred Stock
ALR,Alere Inc. Common Stock
ALR$B,"Alere Inc. Inverness Medical Innovations, Inc. Series B Convertible Perpetual Preferred Stock"
ALSN,"Allison Transmission Holdings, Inc. Common Stock"
ALV,"Autoliv, Inc. Common Stock"
ALX,"Alexander's, Inc. Common Stock"
AM,Antero Midstream Partners LP Common Units representing limited partner interests
AMBR,"Amber Road, Inc. Common Stock"
AMC,"AMC Entertainment Holdings, Inc. Class A Common Stock"
AME,"AMETEK, Inc."
AMFW,AMEC Foster Wheeler plc American Depositary Shares
AMG,"Affiliated Managers Group, Inc. Common Stock"
AMH,American Homes 4 Rent Common Shares of Beneficial Interest
AMH$A,American Homes 4 Rent Participating Preferred Shares Series A
AMH$B,American Homes 4 Rent 5% Series B Participating Preferred Shares of Beneficial Interest
AMH$C,American Homes 4 Rent Participating Pfd Ser C
AMH$D,American Homes 4 Rent 6.5% Series D Cumulative Perpetual Preferred Shares of Beneficial Interest
AMH$E,American Homes 4 Rent 6.35% Series E Cumulative Redeemable Perpetual Preferred Shares of Beneficial Interest
AMID,"American Midstream Partners, LP Common Units representing Limited Partner Interests"
AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc
AMOV,"America Movil, S.A.B. de C.V. Class A American Depositary Shares"
AMP,"Ameriprise Financial, Inc. Common Stock"
AMRC,"Ameresco, Inc. Class A Common Stock"
AMT,American Tower Corporation (REIT) Common Stock
AMT$A,American Tower Corporation (REIT) Pfd Conv Ser A
AMT$B,"American Tower Corporation (REIT) Depositary Shares, each representing a 1/10th ownership interest in a share of 5.50% Mandatory Convertible Preferred Stock, Series B"
AMX,"America Movil, S.A.B. de C.V. American Depository Receipt Series L"
AN,"AutoNation, Inc. Common Stock"
ANET,"Arista Networks, Inc. Common Stock"
ANF,Abercrombie & Fitch Company Common Stock
ANFI,Amira Nature Foods Ltd Ordinary Shares
ANH,Anworth Mortgage Asset Corporation Common Stock
ANH$A,Anworth Mortgage Asset Corporation Series A Preferred Stock
ANH$B,Anworth Mortgage Asset  Corporation Preferred Stock Series B 6.25%
ANH$C,Anworth Mortgage Asset  Corporation 7.625% Series C Cumulative Redeemable  Preferred Stock
ANTM,"Anthem, Inc. Common Stock"
ANTX,"Anthem, Inc. Corporate Units"
ANW,Aegean Marine Petroleum Network Inc. Common Stock
AOI,"Alliance One International, Inc. Common Stock"
AON,Aon plc Class A Ordinary Shares (UK)
AOS,A.O. Smith Corporation Common Stock
AP,Ampco
APA,Apache Corporation Common Stock
APAM,Artisan Partners Asset Management Inc. Class A Common Stock
APC,Anadarko Petroleum Corporation Common Stock
APD,"Air Products and Chemicals, Inc. Common Stock"
APF,Morgan Stanley Asia
APFH,"AdvancePierre Foods Holdings, Inc. Common Stock"
APH,Amphenol Corporation Common Stock
APLE,"Apple Hospitality REIT, Inc. Common Shares"
APO,"Apollo Global Management, LLC Class A Common Shares Representing Class A Limitied Liability Company Interests"
APO$A,"Apollo Global Management, LLC 6.375% Series A Preferred Shares"
APTS,"Preferred Apartment Communities, Inc. Common Stock"
APU,"AmeriGas Partners, L.P. Common Stock"
AQN,Algonquin Power & Utilities Corp. Common Shares
AR,Antero Resources Corporation Common Stock
ARA,"American Renal Associates Holdings, Inc Common Stock"
ARC,"ARC Document Solutions, Inc. Common Stock"
ARCH,"Arch Coal, Inc. Class A Common Stock"
ARCO,Arcos Dorados Holdings Inc. Class A Shares
ARCX,Arc Logistic Partners LP Common Units representing limited partner interest
ARD,Ardagh Group S.A. Common Shares
ARE,"Alexandria Real Estate Equities, Inc. Common Stock"
ARE$D,"Alexandria Real Estate Equities, Inc. 7.00% Series D Cumulative Convertible Preferred Stock"
ARE$E,"Alexandria Real Estate Equities, Inc. Pfd Ser E"
ARES,Ares Management L.P. Common Units representing Limited Partner Interests
ARES$A,Ares Management L.P. 7.00% Series A Preferred Units Representing Limited Partner Interests
ARH$C,Arch Capital Group Ltd. 6.75% PFD sh S C
ARI,"Apollo Commercial Real Estate Finance, Inc"
ARI$A,Apollo Commercial Real Estate Finance Cumulative Redeemable Perpetual Preferred Stock Series A
ARI$C,Apollo Commercial Real Estate Finance 8.00% Series C Cumulative Redeemable Perpetual Preferred Stock
ARL,"American Realty Investors, Inc. Common Stock"
ARMK,Aramark Common Stock
ARNC,Arconic Inc. Common Stock
ARNC$B,Arconic Inc. Depository Shares Representing 1/10th Preferred Convertilble Class B Series 1
AROC,"Archrock, Inc. Common Stock"
ARR,"ARMOUR Residential REIT, Inc."
ARR$A,Armour Residential REIT INC Preferred Series A
ARR$B,"ARMOUR Residential REIT, Inc. Preferred Series B"
ARU,Ares Capital Corporation 5.875% Senior Notes due 2022
ARW,"Arrow Electronics, Inc. Common Stock"
ASA,ASA  Gold and Precious Metals Limited
ASB,Associated Banc
ASB$C,Associated Banc
ASB$D,Associated Banc
ASC,Ardmore Shipping Corporation Common Stock
ASG,Liberty All
ASGN,"On Assignment, Inc. Common Stock"
ASH,Ashland Global Holdings Inc. Common Stock
ASIX,AdvanSix Inc. Common Stock 
ASPN,"Aspen Aerogels, Inc. Common Stock"
ASR,"Grupo Aeroportuario del Sureste, S.A. de C.V. Common Stock"
ASX,"Advanced Semiconductor Engineering, Inc. Common Stock"
AT,Atlantic Power Corporation Ordinary Shares (Canada)
ATEN,"A10 Networks, Inc. Common Stock"
ATH,Athene Holding Ltd. Class A Common Shares
ATHM,"Autohome Inc. American Depositary Shares, each representing one class A ordinary share."
ATI,Allegheny Technologies Incorporated Common Stock
ATKR,Atkore International Group Inc. Common Stock
ATO,Atmos Energy Corporation Common Stock
ATR,"AptarGroup, Inc. Common Stock"
ATTO,Atento S.A. Ordinary Shares
ATU,Actuant Corporation Common Stock
ATV,"Acorn International, Inc. ADS"
ATW,"Atwood Oceanics, Inc. Common Stock"
AU,AngloGold Ashanti Limited Common Stock
AUO,AU Optronics Corp American Depositary Shares
AUY,Yamana Gold Inc. Ordinary Shares (Canada)
AVA,Avista Corporation Common Stock
AVAL,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares)
AVB,"AvalonBay Communities, Inc. Common Stock"
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value)
AVH,Avianca Holdings S.A. American Depositary Shares (Each representing 8 preferred Shares)
AVP,"Avon Products, Inc. Common Stock"
AVT,"Avnet, Inc. Common Stock"
AVX,AVX Corporation Common Stock
AVY,Avery Dennison Corporation Common Stock
AWH,"Allied World Assurance Company Holdings, AG (Switzerland)"
AWI,Armstrong World Industries Inc Common Stock
AWK,"American Water Works Company, Inc. Common Stock"
AWR,American States Water Company Common Stock
AXE,Anixter International Inc. Common Stock
AXL,"American Axle & Manufacturing Holdings, Inc. Common Stock"
AXON,Axovant Sciences Ltd. Common Shares
AXP,American Express Company Common Stock
AXR,AMREP Corporation Common Stock
AXS,Axis Capital Holdings Limited Common Stock
AXS$C,Axis Capital Holdings Limited Preferred Series C (Bermuda)
AXS$D,Axis Capital Holdings Limited Preferred Series D (Bermuda)
AXS$E,"Axis Capital Holdings Limited Depositary Shares, each representing 1/100th interest in a share of a 5.50% Series E Preferred Shares"
AXTA,Axalta Coating Systems Ltd. Common Shares
AYI,Acuity Brands Inc (Holding Company)
AYR,Aircastle Limited Common Stock
AYX,"Alteryx, Inc. Class A Common Stock"
AZN,Astrazeneca PLC Common Stock
AZO,"AutoZone, Inc. Common Stock"
